,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Total_Amount_Spent,Target
309,1992,3,5,42670.0,0,0,1,4,2,4,4,0,0,0,0,0,0,241,0
310,1976,2,2,12571.0,1,0,4,3,1,3,6,0,0,0,0,0,0,53,3
311,1967,2,3,22574.0,2,1,2,2,0,3,7,0,0,0,0,0,0,37,3
312,1989,2,3,51381.5,0,0,1,6,5,12,3,0,1,0,1,0,0,1611,0
313,1976,3,4,70893.0,0,0,1,6,6,10,3,0,0,0,0,0,0,1508,1
314,1966,2,3,54198.0,1,1,6,3,1,6,4,0,0,0,0,0,0,235,0
315,1956,3,5,28839.0,1,1,2,2,0,3,5,0,0,0,0,0,0,32,3
316,1972,2,3,40321.0,1,1,2,3,0,3,7,0,0,0,0,0,0,102,3
317,1985,2,4,66503.0,1,0,2,4,3,6,3,0,0,0,0,0,0,401,1
318,1951,2,3,30833.0,1,1,2,1,0,3,5,0,0,0,0,0,0,28,3
319,1970,2,4,51381.5,1,2,6,2,3,10,7,0,1,0,1,0,0,1052,0
320,1971,2,3,64795.0,0,1,3,3,3,12,2,0,0,0,0,0,0,680,1
321,1974,2,3,34421.0,1,0,1,1,0,2,7,0,0,0,0,0,0,30,3
322,1965,4,2,47025.0,1,1,1,1,0,2,7,0,0,0,0,0,0,20,0
323,1961,4,2,64325.0,0,1,5,10,3,5,7,0,0,0,0,0,0,1307,0
324,1953,2,4,40464.0,0,1,6,8,2,8,8,0,0,0,0,0,0,630,0
325,1957,2,3,62187.0,0,0,1,4,8,5,3,0,0,0,0,0,0,1283,0
326,1976,4,2,14849.0,1,0,3,2,0,4,8,0,0,0,0,0,0,65,3
327,1984,2,3,27255.0,1,0,1,1,0,3,7,0,0,0,0,0,0,37,3
328,1950,4,3,54432.0,2,1,1,1,0,3,4,0,0,0,0,0,0,38,0
329,1986,4,4,29999.0,1,0,4,3,1,4,8,0,0,0,0,0,0,160,3
330,1983,2,4,24072.0,1,0,1,1,0,2,8,0,0,0,0,0,0,23,3
331,1989,4,4,33996.0,0,0,1,1,1,3,4,0,0,0,0,0,0,71,3
332,1956,4,3,66334.0,0,1,2,9,3,5,5,0,0,0,0,0,1,1161,1
333,1971,3,3,35178.0,1,0,1,1,1,2,7,1,0,0,0,0,1,59,3
334,1983,2,5,22010.0,1,0,2,2,0,3,8,0,0,0,0,0,0,33,3
335,1960,2,2,62204.0,0,2,1,4,5,12,3,0,0,0,0,0,0,946,0
336,1968,2,2,75693.0,0,0,1,11,4,6,4,0,1,1,1,0,1,1442,1
337,1972,2,3,30675.0,1,0,1,1,0,3,8,0,0,0,0,0,0,62,3
338,1965,2,5,83003.0,0,0,1,7,6,8,3,0,0,1,0,0,1,1674,1
339,1899,4,5,83532.0,0,0,1,4,6,4,1,0,0,1,0,0,0,1853,1
340,1988,2,4,68655.0,0,0,1,4,5,11,3,0,0,0,0,0,0,1538,1
341,1986,2,2,41411.0,0,0,1,2,1,4,6,0,0,0,0,0,0,139,0
342,1969,4,3,55212.0,0,1,3,4,2,11,8,0,1,0,0,1,0,1182,0
343,1950,4,5,59292.0,0,1,2,3,5,8,3,0,0,0,0,0,0,507,0
344,1973,1,5,27190.0,1,0,1,1,0,2,8,1,0,0,0,0,1,18,3
345,1952,2,2,82623.0,0,0,1,2,9,4,1,0,0,0,0,0,0,940,1
346,1965,2,3,44300.0,1,1,2,1,0,3,6,0,0,0,0,0,0,42,0
347,1970,2,2,84835.0,0,0,1,4,4,6,1,0,0,0,0,0,1,1190,1
348,1971,2,6,30372.0,1,1,3,2,0,3,7,0,0,0,0,0,0,44,3
349,1976,3,3,33181.0,1,0,1,1,0,2,6,1,0,0,0,0,0,16,3
350,1957,2,3,71113.0,0,1,4,6,7,9,4,0,0,0,0,0,0,835,1
351,1986,2,3,71952.0,1,0,2,8,4,8,4,1,0,1,0,0,0,1443,1
352,1966,4,4,69759.0,0,0,3,4,6,5,3,0,0,0,0,0,1,1029,1
353,1974,2,3,72099.0,0,0,1,3,4,10,1,0,0,0,0,0,0,1188,1
354,1976,4,4,60000.0,0,1,5,11,3,5,6,0,0,0,0,0,0,1277,0
355,1978,2,4,38643.0,1,1,2,2,0,3,7,0,0,0,0,0,0,49,3
356,1955,2,3,50737.0,0,1,1,2,0,4,6,0,1,0,0,0,0,99,0
357,1969,4,3,68462.0,0,0,1,3,3,8,1,0,0,0,0,0,0,1670,1
358,1943,3,3,65073.0,0,0,1,5,3,5,2,0,0,0,0,0,0,900,1
359,1948,4,5,46681.0,0,2,2,4,6,4,5,0,0,0,0,0,0,425,0
360,1957,2,3,78618.0,0,0,1,4,7,10,2,0,1,0,0,0,0,2153,1
361,1969,4,6,62187.0,0,1,3,6,2,10,4,0,0,0,0,0,0,636,0
362,1978,2,3,28442.0,2,0,3,2,1,4,4,0,0,0,0,0,0,57,3
363,1978,4,3,37717.0,1,0,1,1,0,2,9,0,0,0,0,0,0,25,3
364,1967,2,3,51479.0,1,1,7,6,3,6,7,0,0,0,0,0,0,494,0
365,1969,2,4,54803.0,0,1,2,6,2,9,4,0,0,0,0,0,0,693,0
366,1960,2,3,79530.0,0,0,1,4,10,11,2,0,0,0,0,0,0,1348,1
367,1976,2,2,31615.0,1,0,2,2,0,3,7,0,0,0,0,0,0,51,3
368,1962,2,5,72025.0,0,0,1,4,3,8,3,0,0,0,0,0,0,1932,1
369,1975,4,4,52614.0,0,1,2,2,4,8,8,0,0,0,0,0,0,990,0
370,1984,0,3,35684.0,1,0,1,1,0,3,6,0,0,0,0,0,0,30,3
371,1975,2,3,48178.0,1,1,6,5,1,4,8,0,0,0,0,0,0,254,0
372,1970,3,4,29548.0,1,0,1,1,1,2,4,1,0,0,0,0,0,29,3
373,1966,2,4,63810.0,0,1,4,4,3,12,8,0,1,0,0,0,0,1371,0
374,1972,4,4,38578.0,1,1,3,3,0,3,8,0,0,0,0,0,1,73,3
375,1975,3,4,46098.0,1,1,4,3,2,2,8,0,0,0,0,0,0,120,0
376,1970,2,4,22585.0,0,0,1,1,1,2,9,1,0,0,0,0,1,81,3
377,1989,2,4,30279.0,1,0,1,1,0,3,8,0,0,0,0,0,0,37,3
378,1961,4,5,66426.0,0,1,2,3,5,10,6,0,0,0,0,0,0,1377,1
379,1969,2,4,30822.0,1,0,1,1,0,3,7,0,0,0,0,0,0,51,3
380,1969,4,3,33581.0,2,0,1,1,0,2,8,0,0,0,0,0,0,17,3
381,1985,2,3,19986.0,1,0,1,0,0,3,7,0,0,0,0,0,0,22,3
382,1954,2,6,27421.0,0,0,3,4,1,6,7,0,0,0,0,0,0,324,3
383,1973,0,3,35688.0,2,1,7,4,1,4,8,0,0,0,0,0,0,211,3
384,1981,3,4,36143.0,1,0,1,0,1,2,3,0,0,0,0,0,0,19,3
385,1971,2,4,10245.0,1,0,3,1,2,2,5,0,0,0,0,0,0,41,3
386,1968,3,5,43795.0,0,1,3,7,3,4,7,0,1,0,0,0,1,492,0
387,1960,2,5,63381.0,0,1,4,4,5,13,2,0,0,0,0,0,0,1005,0
388,1949,2,5,38823.0,0,1,1,2,1,3,6,0,0,0,0,0,0,114,3
389,1968,4,2,83664.0,1,1,3,2,2,12,5,0,0,0,0,0,0,1173,1
390,1979,2,5,90300.0,0,0,0,5,6,8,1,0,0,1,0,0,0,1738,1
391,1979,3,5,62499.0,1,0,2,3,1,6,4,0,0,0,0,0,0,222,0
392,1993,2,4,74293.0,0,0,1,5,4,6,2,0,0,0,0,0,0,1127,1
393,1946,4,3,51012.0,0,0,1,4,1,4,6,0,0,0,0,0,0,209,0
394,1968,3,3,70777.0,0,1,3,5,3,12,3,0,0,0,0,0,0,787,1
395,1991,4,5,68682.0,0,0,1,4,9,10,2,0,0,0,0,0,0,1598,1
396,1971,2,3,43824.0,1,1,4,3,1,4,8,0,0,0,0,0,0,186,0
397,1984,2,5,15345.0,1,0,2,1,1,2,8,0,0,0,0,0,1,47,3
398,1987,2,4,23442.0,1,0,1,1,0,3,7,0,0,0,0,0,0,27,3
399,1980,0,5,14515.0,1,0,4,2,2,3,7,0,0,0,0,0,1,96,3
400,1956,0,2,31395.0,1,1,4,2,1,3,6,0,0,0,0,0,0,64,3
401,1965,2,5,75276.0,0,0,1,9,4,9,5,0,0,0,0,0,0,1040,1
402,1974,2,4,42373.0,1,1,5,2,1,5,5,0,0,0,0,0,0,163,0
403,1960,2,5,30507.0,0,0,1,5,1,4,7,0,0,0,0,0,0,343,3
404,1955,4,4,55521.0,1,2,9,6,3,6,7,0,1,0,0,0,1,446,0
405,1965,2,3,48006.0,1,1,1,1,0,3,6,0,0,0,0,0,0,41,0
406,1972,4,4,27213.0,1,0,3,2,0,4,8,0,0,0,0,0,1,70,3
407,1971,4,2,65808.0,1,1,3,5,1,5,6,0,0,0,0,0,0,272,1
408,1974,4,5,30351.0,1,0,1,3,0,2,9,0,0,0,0,0,0,46,3
409,1963,2,3,50437.0,0,2,3,7,1,8,7,0,0,0,0,0,0,490,0
410,1982,0,4,23616.0,1,0,2,3,0,3,8,0,0,0,0,0,1,79,3
411,1976,2,3,53858.0,0,1,4,4,3,6,4,0,0,0,0,0,0,915,0
412,1955,4,3,66465.0,0,1,3,11,9,12,6,0,0,0,1,0,0,1485,1
413,1987,2,4,46923.0,1,0,3,5,1,7,7,0,0,0,0,0,0,369,0
414,1962,2,5,75072.0,0,1,2,5,4,8,3,0,0,0,0,0,0,1073,1
415,1943,4,3,75865.0,0,0,1,3,5,10,1,0,0,0,0,0,0,1242,1
416,1975,0,5,19789.0,1,0,3,2,1,3,5,1,0,0,0,0,0,78,3
417,1994,2,5,80134.0,0,0,1,2,7,11,5,0,1,1,1,1,0,1378,1
418,1981,2,4,91065.0,0,0,1,7,9,9,3,0,0,1,1,0,1,1474,1
419,1971,3,3,49505.0,1,1,9,10,2,8,8,0,0,0,0,0,0,751,0
420,1973,4,3,37401.0,1,0,2,2,0,3,7,0,0,0,0,0,0,48,3
421,1983,2,3,30096.0,1,0,1,2,0,3,6,0,0,0,0,0,0,45,3
422,1982,3,5,18492.0,1,0,1,1,0,2,8,0,0,0,0,0,0,10,3
423,1974,3,3,82584.0,0,0,1,3,4,8,1,0,1,1,0,0,1,1435,1
424,1941,4,3,93027.0,0,0,0,7,10,5,2,0,0,1,0,0,0,2119,1
425,1953,2,3,48686.0,1,2,1,1,0,2,8,0,0,0,0,0,0,20,0
426,1986,2,3,92910.0,0,0,1,6,7,13,1,0,1,1,1,0,0,1795,1
427,1989,2,3,75433.0,1,0,2,2,5,10,6,0,1,0,1,0,0,1188,1
428,1989,0,5,10404.0,1,0,2,1,0,4,5,0,0,0,0,0,0,43,3
429,1968,2,3,61314.0,0,1,2,5,5,12,3,0,0,0,0,0,0,1008,0
430,1961,4,4,84865.0,0,0,1,2,4,9,4,0,1,1,1,1,1,1688,1
431,1989,2,3,42387.0,1,0,5,8,1,7,8,0,0,0,0,0,0,684,0
432,1967,0,5,67309.0,1,1,15,9,6,9,7,0,0,0,0,0,0,1082,1
433,1964,2,3,75236.0,0,1,1,8,3,13,4,0,0,0,0,0,0,1068,1
434,1970,2,4,30015.0,1,0,2,1,0,4,5,0,0,0,0,0,0,57,3
435,1956,3,5,50943.0,0,1,1,1,0,3,5,0,0,0,0,0,0,46,0
436,1966,2,2,67272.0,0,1,3,6,2,12,5,0,0,0,0,0,0,733,1
437,1949,3,6,51529.0,0,1,2,9,1,5,8,0,0,0,0,0,0,467,0
438,1971,4,3,32011.0,1,0,3,2,1,4,7,0,0,0,0,0,0,122,3
439,1986,0,3,7500.0,1,0,2,2,0,3,8,0,0,0,0,0,0,36,3
440,1989,2,3,28691.0,1,0,1,1,0,3,8,0,0,0,0,0,0,34,3
441,1948,4,3,56223.0,0,1,2,2,1,5,4,0,0,0,0,0,0,156,0
442,1946,2,3,18100.0,0,0,1,0,0,3,5,0,0,0,0,0,0,14,3
443,1989,2,4,30279.0,1,0,1,1,0,3,8,0,0,0,0,0,0,37,3
444,1974,0,3,20130.0,0,0,1,1,0,3,8,0,0,0,0,0,0,34,3
445,1959,2,2,23295.0,0,0,1,1,0,2,8,0,0,0,0,0,0,20,3
446,1972,3,2,42618.0,1,0,2,5,0,4,8,0,0,0,0,0,0,192,0
447,1964,2,4,81246.0,0,0,1,4,5,7,1,1,0,0,1,0,0,1379,1
448,1976,2,3,24027.0,1,0,2,2,0,3,8,0,0,0,0,0,0,48,3
449,1953,4,3,55707.0,0,1,2,3,2,9,3,0,0,0,0,0,0,428,0
450,1955,2,4,57959.0,0,1,5,4,7,11,3,0,0,0,0,0,0,868,0
451,1969,2,3,56796.0,0,1,3,8,9,7,7,0,0,0,0,0,0,1001,0
452,1971,3,4,36230.0,1,0,1,2,0,4,5,0,0,0,0,0,0,59,3
453,1980,0,3,70829.0,1,1,2,4,2,8,3,0,0,0,0,0,0,431,1
454,1976,2,3,65991.0,0,1,3,9,5,10,7,0,0,0,0,0,0,971,1
455,1972,2,3,38988.0,1,2,7,5,1,6,8,0,0,0,0,0,0,348,3
456,1966,0,4,89572.0,0,0,1,7,7,9,4,0,1,0,1,0,1,2059,1
457,1984,3,3,42207.0,1,0,4,4,1,5,6,1,0,0,0,0,1,265,0
458,1952,2,3,50300.0,0,1,2,2,1,8,2,0,0,0,0,0,0,270,0
459,1982,0,5,66664.0,0,0,1,5,7,6,3,0,0,0,0,0,0,1289,1
460,1964,2,3,60597.0,0,1,4,2,2,8,7,0,0,0,1,0,1,893,0
461,1949,2,6,70165.0,0,0,1,3,7,11,1,0,0,0,0,0,0,926,1
462,1958,4,6,50520.0,0,1,2,3,1,3,6,0,0,0,0,0,0,135,0
463,1963,2,3,80124.0,0,0,1,3,7,8,1,1,0,0,0,0,0,1495,1
464,1975,2,3,33183.0,1,0,2,4,0,3,7,0,0,0,0,0,0,120,3
465,1969,4,4,66582.0,0,0,1,2,8,9,1,0,0,0,0,0,0,1288,1
466,1955,4,5,75261.0,0,0,1,5,6,5,2,0,1,1,0,0,1,1743,1
467,1970,2,6,31880.0,1,0,1,1,0,2,8,0,0,0,0,0,0,15,3
468,1951,2,3,53790.0,0,2,3,7,2,8,6,0,0,0,0,0,0,542,0
469,1971,4,5,49269.0,1,0,3,7,3,12,7,0,0,0,0,0,0,890,0
470,1975,2,3,61456.0,0,1,4,6,10,13,4,0,0,0,0,0,0,1388,0
471,1980,2,3,37406.0,1,0,1,1,0,2,8,0,0,0,0,0,1,17,3
472,1981,4,5,56937.0,1,0,7,8,6,9,6,0,1,0,0,0,1,906,0
473,1978,2,3,38415.0,1,1,2,1,0,3,7,0,0,0,0,0,0,44,3
474,1988,2,4,20518.0,1,0,1,1,1,2,5,0,0,0,0,0,0,25,3
475,1956,2,3,62503.0,0,1,4,8,3,11,5,0,0,0,0,0,0,973,0
476,1972,4,4,41644.0,1,1,2,1,0,3,3,0,0,0,0,0,0,31,0
477,1977,3,3,55842.0,0,1,1,7,1,8,5,0,0,0,0,0,0,518,0
478,1972,4,3,62010.0,0,1,4,6,2,7,5,0,0,0,0,0,0,530,0
479,1977,2,3,41124.0,1,0,7,7,3,4,8,0,0,0,0,0,0,506,0
480,1973,3,3,38961.0,1,0,1,2,1,2,7,0,0,0,0,0,0,70,3
481,1972,3,2,37760.0,1,0,1,2,0,3,6,0,0,0,0,0,0,54,3
482,1974,2,4,32233.0,1,0,2,6,2,2,9,1,0,0,0,0,1,296,3
483,1975,2,3,43057.0,0,1,4,4,2,5,5,0,0,0,0,0,0,266,0
484,1960,3,5,83151.0,0,0,1,5,9,4,3,0,0,0,0,0,0,747,1
485,1964,4,2,78825.0,0,0,1,5,10,13,3,0,0,0,0,0,1,895,1
486,1976,3,5,65104.0,0,1,2,3,5,7,7,0,0,0,0,0,0,1053,1
487,1974,2,3,60093.0,0,1,2,7,2,10,6,0,0,0,0,0,0,735,0
488,1969,2,3,14045.0,1,0,1,1,0,3,7,0,0,0,0,0,0,20,3
489,1952,0,6,28457.0,0,0,1,4,1,4,8,0,0,0,0,0,0,205,3
490,1958,4,5,78952.0,0,1,2,2,5,12,6,0,0,0,0,0,0,2092,1
491,1976,2,2,46310.0,1,0,2,6,1,5,8,0,0,0,0,0,0,309,0
492,1955,2,5,76005.0,0,0,1,3,5,13,6,0,0,0,1,0,0,1722,1
493,1964,3,4,58308.0,0,1,4,2,6,3,8,0,0,0,0,0,0,900,0
494,1944,4,2,55614.0,0,0,1,9,4,6,7,0,1,0,0,0,0,682,0
495,1962,3,2,59432.0,0,1,3,5,3,11,5,0,0,0,0,0,0,663,0
496,1978,2,2,55563.0,0,1,1,2,0,3,3,0,0,0,0,0,0,43,0
497,1971,4,5,78642.0,0,1,1,4,9,4,6,0,0,0,0,0,0,1816,1
498,1949,4,5,67911.0,0,1,3,6,7,11,3,0,0,0,0,0,0,976,1
499,1944,2,3,65275.0,0,0,1,4,3,13,2,0,0,0,0,0,0,746,1
500,1950,2,5,27203.0,1,1,2,1,1,2,8,0,0,0,0,0,0,64,3
501,1961,3,5,48330.0,0,1,1,1,0,3,5,0,0,0,0,0,0,32,0
502,1990,1,3,24279.0,0,0,1,4,1,3,8,0,0,0,0,0,0,263,3
503,1985,4,3,64355.0,1,0,2,4,3,12,8,0,0,0,0,0,0,1445,0
504,1956,3,5,50943.0,0,1,1,1,0,3,5,0,0,0,0,0,0,46,0
505,1953,2,6,53653.0,0,0,2,10,4,12,6,0,0,0,0,0,0,1210,0
506,1976,2,3,65665.0,0,1,1,5,10,8,3,0,0,0,0,0,0,945,1
507,1989,2,4,81217.0,0,0,1,3,7,11,1,0,0,0,0,0,0,1157,1
508,1992,2,3,34935.0,0,0,1,2,1,4,7,0,0,0,0,0,0,137,3
509,1959,2,2,61250.0,0,1,6,5,2,12,5,0,0,0,0,0,0,730,0
510,1981,4,5,39665.0,1,0,3,4,2,3,7,1,0,0,0,0,0,216,3
511,1979,2,4,60152.0,0,1,1,6,4,12,3,0,0,0,0,0,0,943,0
512,1964,2,3,48920.0,0,2,3,6,2,5,7,0,1,0,0,0,0,347,0
513,1959,3,5,89120.0,0,0,1,5,6,7,1,0,0,1,0,0,0,1924,1
514,1946,4,5,44124.0,0,1,4,6,2,5,8,0,0,0,0,0,0,397,0
515,1975,3,4,81169.0,0,0,1,5,7,9,2,0,0,0,0,0,0,2089,1
516,1961,2,3,36443.0,1,1,4,3,1,3,8,0,0,0,0,0,0,138,3
517,1990,2,4,26095.0,1,0,1,1,0,3,7,0,0,0,0,0,0,42,3
518,1959,2,5,71367.0,0,0,1,4,5,7,2,0,0,0,0,0,0,777,1
519,1944,3,3,80184.0,0,0,1,6,3,10,3,0,0,1,1,0,0,1902,1
520,1965,2,2,30630.0,1,1,2,2,0,3,7,0,0,0,0,0,0,52,3
521,1987,3,4,73454.0,0,0,1,2,4,6,5,1,0,0,0,0,0,1651,1
522,1991,2,3,42691.0,0,0,1,5,1,6,5,0,0,0,0,0,0,358,0
523,1953,2,3,70503.0,0,0,1,2,4,9,6,0,1,1,0,0,0,1727,1
524,1987,2,3,25545.0,1,0,3,2,2,3,6,0,0,0,0,0,1,210,3
525,1986,2,3,32880.0,1,0,1,1,0,3,8,0,0,0,0,0,0,42,3
526,1958,4,5,77863.0,0,0,1,4,5,10,2,0,0,0,0,0,0,1291,1
527,1977,3,3,50353.0,0,0,1,4,4,6,3,0,0,0,0,0,0,442,0
528,1964,2,4,61839.0,0,0,1,4,8,4,8,0,0,0,0,0,0,1895,0
529,1960,4,3,49154.0,1,1,6,4,1,8,6,0,0,0,0,0,0,411,0
530,1975,0,6,47682.0,0,1,4,4,3,8,5,0,0,0,0,0,0,521,0
531,1969,2,4,72679.0,0,1,1,4,7,5,1,0,0,0,0,0,0,1168,1
532,1977,3,5,57954.0,1,1,7,8,2,6,7,0,1,0,0,0,0,493,0
533,1962,2,3,65316.0,1,1,2,3,2,5,4,0,0,0,0,0,0,260,1
534,1982,2,4,28567.0,1,0,2,2,0,3,6,0,0,0,0,0,0,46,3
535,1951,3,5,47352.0,0,1,4,6,1,5,7,0,0,0,0,0,0,319,0
536,1967,2,5,44931.0,0,1,1,2,1,3,5,0,0,0,0,0,0,96,0
537,1967,2,2,76982.0,0,0,1,8,3,4,4,0,0,1,0,0,1,1062,1
538,1952,0,5,57247.0,0,1,2,2,1,7,2,0,0,0,0,0,0,232,0
539,1981,3,4,22944.0,1,0,3,3,0,3,7,0,0,0,0,0,0,76,3
540,1977,0,5,25315.0,1,0,3,3,0,3,8,0,0,0,0,0,0,54,3
541,1969,2,6,43638.0,0,1,2,4,1,4,7,0,0,0,0,0,0,201,0
542,1984,4,4,42710.0,1,0,2,4,5,3,6,0,0,0,0,0,0,406,0
543,1982,4,3,84169.0,0,0,1,7,6,6,3,0,1,1,0,0,1,1919,1
544,1976,2,5,54058.0,0,1,2,4,6,8,3,0,0,0,0,0,0,662,0
545,1990,0,3,24683.0,1,0,2,2,0,4,5,0,0,0,0,0,0,41,3
546,1964,2,6,85620.0,0,0,1,3,6,4,1,0,0,0,0,0,1,1600,1
547,1980,2,3,47850.0,1,0,1,3,0,4,6,0,0,0,0,0,0,134,0
548,1968,2,3,19514.0,1,1,4,3,1,2,8,1,0,0,0,0,1,69,3
549,1973,3,3,27159.0,1,1,2,1,0,3,6,0,0,0,0,0,0,21,3
550,1963,0,4,39548.0,1,1,2,1,1,3,3,0,0,0,0,0,0,54,3
551,1989,2,4,21474.0,1,0,2,3,1,2,7,1,0,0,0,0,1,91,3
552,1971,4,4,60504.0,0,1,2,6,2,8,6,0,0,0,0,0,0,526,0
553,1963,2,3,22419.0,0,0,1,3,2,2,8,0,0,0,0,0,0,162,3
554,1949,3,3,81698.0,0,0,1,3,8,13,1,0,0,0,0,0,1,1008,1
555,1952,2,5,43462.0,1,1,6,4,1,5,8,0,0,0,0,0,0,240,0
556,1978,4,4,54880.0,1,0,2,6,2,11,5,0,0,0,0,0,0,795,0
557,1982,2,3,79908.0,0,0,1,5,6,7,2,0,0,1,0,0,0,1772,1
558,1970,0,3,15315.0,0,0,2,2,0,4,5,0,0,0,0,0,0,64,3
559,1959,2,5,87771.0,0,1,1,5,10,4,6,0,1,1,1,1,1,1957,1
560,1978,2,3,33039.0,1,0,1,2,0,4,5,0,0,0,0,0,0,78,3
561,1980,2,4,81741.0,0,0,0,6,6,7,2,0,0,0,0,0,0,1572,1
562,1971,3,5,71499.0,0,1,2,8,3,13,4,0,0,0,0,0,0,795,1
563,1970,0,3,62466.0,0,1,5,6,3,12,4,0,0,0,0,0,0,889,0
564,1963,4,2,48799.0,0,1,3,3,2,7,3,0,0,0,0,0,0,331,0
565,1950,4,5,52157.0,0,1,2,3,2,5,4,0,0,0,0,0,0,265,0
566,1962,2,4,66565.0,0,1,4,4,2,9,8,0,0,0,0,0,0,1065,1
567,1951,3,5,29298.0,1,1,1,1,0,2,5,0,0,0,0,0,0,11,3
568,1979,2,4,47691.0,0,1,1,1,0,2,6,0,0,0,0,0,0,21,0
569,1970,2,5,38200.0,1,1,1,1,0,2,7,0,0,0,0,0,0,17,3
570,1974,2,3,44989.0,0,1,5,5,1,5,6,0,0,0,0,0,0,369,0
571,1968,4,3,38443.0,1,1,2,1,0,3,7,0,0,0,0,0,0,38,3
572,1978,0,4,38593.0,1,0,3,4,1,3,8,0,0,0,0,0,0,177,3
573,1970,4,5,64413.0,0,1,1,5,1,5,5,0,0,0,0,0,0,279,0
574,1981,3,3,36959.0,1,0,2,2,0,3,8,0,0,0,0,0,0,62,3
575,1977,4,3,61996.0,0,1,3,6,4,8,5,0,1,0,1,1,1,1230,0
576,1968,2,3,51287.0,1,1,3,4,1,3,7,0,0,0,0,0,0,182,0
577,1970,2,3,13260.0,1,1,4,3,0,3,8,0,0,0,0,0,0,49,3
578,1966,4,5,47472.0,1,1,2,2,0,4,5,0,0,0,0,0,0,75,0
579,1956,3,5,54603.0,1,1,6,4,2,4,7,0,0,0,0,0,0,227,0
580,1974,4,3,45207.0,1,1,5,3,1,6,6,0,1,0,0,0,0,215,0
581,1951,2,5,40689.0,0,1,7,7,1,5,8,0,0,0,0,0,0,444,0
582,1967,0,5,47821.0,1,1,1,1,0,3,8,0,0,0,0,0,0,47,0
583,1951,3,3,27450.0,0,0,1,2,1,3,7,0,0,0,0,0,0,143,3
584,1983,2,5,39453.0,1,0,2,2,0,3,6,0,0,0,0,0,0,55,3
585,1971,0,5,26850.0,1,1,4,2,1,4,4,0,0,0,0,0,0,63,3
586,1955,2,6,79800.0,0,0,1,5,11,5,3,1,0,1,1,0,1,1867,1
587,1961,3,3,61794.0,0,1,2,4,4,10,2,0,0,0,0,0,0,611,0
588,1955,2,5,53863.0,0,1,3,7,1,7,7,0,1,0,0,0,0,473,0
589,1959,2,5,24221.0,0,0,1,1,1,3,4,0,0,0,0,0,0,55,3
590,1984,4,4,39684.0,1,0,2,2,1,2,7,0,0,0,0,0,1,81,3
591,1975,3,3,92163.0,0,0,0,5,11,5,2,0,0,1,1,0,1,2086,1
592,1965,3,4,69882.0,0,0,1,3,7,9,1,0,0,0,0,0,0,1478,1
593,1977,2,5,33178.0,1,0,1,1,0,3,4,0,0,0,0,0,0,49,3
594,1972,4,3,59973.0,0,0,1,3,4,7,1,0,0,0,0,0,0,382,0
595,1975,3,5,17459.0,1,0,3,3,1,2,7,0,0,0,0,0,1,69,3
596,1969,2,2,23910.0,1,0,1,2,0,3,7,0,0,0,0,0,0,67,3
597,1969,3,3,42169.0,1,1,2,1,0,3,8,0,0,0,0,0,0,30,0
598,1978,0,3,26224.0,1,0,3,2,1,3,6,0,0,0,0,0,0,63,3
599,1981,2,5,31089.0,1,0,3,3,0,4,8,0,0,0,0,0,0,79,3
600,1961,2,4,30081.0,0,1,1,1,0,3,7,0,0,0,0,0,0,42,3
601,1960,2,5,62807.0,0,1,3,5,3,12,5,0,0,0,0,0,0,819,0
602,1955,2,4,72906.0,0,0,1,3,4,9,1,0,0,0,0,0,0,1151,1
603,1948,4,3,61467.0,0,2,3,5,2,10,5,0,0,0,0,0,0,594,0
604,1966,3,5,49618.0,1,1,4,3,1,3,7,0,0,0,0,0,0,129,0
605,1986,3,4,21888.0,1,0,4,5,1,2,10,0,0,0,0,0,1,213,3
606,1973,2,6,42429.0,0,1,2,1,1,3,5,0,0,0,0,0,0,67,0
607,1956,2,2,26150.0,2,1,1,1,0,3,7,0,0,0,0,0,0,28,3
608,1975,1,3,30801.0,0,1,2,1,0,3,7,0,0,0,0,0,0,45,3
609,1965,2,3,81168.0,0,0,1,6,4,7,3,0,0,0,1,0,0,1193,1
610,1969,3,4,26877.0,0,0,2,3,1,6,6,0,0,0,0,0,0,268,3
611,1944,3,6,45006.0,0,0,1,3,1,7,3,0,0,0,0,0,0,266,0
612,1973,1,3,18978.0,1,0,1,1,0,3,8,0,0,0,0,0,0,37,3
613,1967,2,3,22574.0,2,1,2,2,0,3,7,0,0,0,0,0,0,37,3
614,1969,4,4,48240.0,0,0,3,6,3,13,5,0,0,0,0,0,1,882,0
615,1974,2,3,45837.0,1,1,5,6,2,5,7,0,0,0,0,0,0,373,0
616,1965,3,4,35791.0,2,1,2,1,0,3,8,0,0,0,0,0,0,35,3
617,1976,4,5,162397.0,1,1,0,0,0,1,1,0,0,0,0,0,0,107,1
618,1978,2,6,54162.0,1,1,1,1,0,3,4,0,0,0,0,0,0,42,0
619,1960,3,3,30522.0,0,1,5,1,2,9,2,0,0,0,0,0,0,326,3
620,1961,4,3,54456.0,0,1,3,6,1,7,6,0,0,0,0,0,0,404,0
